Episode,Steps,Total Reward,Epsilon,TD Error
0,3,-0.44999999999999996,0.997,0.0
1,19,-0.6599999999999998,0.994009,0.06169016031842483
2,1,-0.75,0.991026973,0.17738912999629974
3,7,-0.9,0.988053892081,0.17105661119733537
4,5,-0.93,0.985089730404757,0.1492403656244278
5,2,-0.72,0.9821344612135428,0.15557485073804855
6,1,-0.75,0.9791880578299021,0.15586811304092407
7,3,-0.84,0.9762504936564125,0.14650469521681467
8,2,-0.72,0.9733217421754432,0.14917854964733124
9,4,-0.41999999999999993,0.9704017769489168,0.13466489501297474
10,7,-1.05,0.9674905716180701,0.12920749081032618
11,16,-1.3499999999999999,0.9645880999032158,0.13612972665578127
12,6,-0.9,0.9616943356035061,0.1185682291785876
13,1,-0.75,0.9588092525966956,0.12932485342025757
14,1,-0.75,0.9559328248389055,0.12081459164619446
15,1,-0.75,0.9530650263643888,0.1306726634502411
16,2,-0.87,0.9502058312852957,0.11609674245119095
17,22,-0.8999999999999999,0.9473552137914398,0.11482299864292145
18,2,-0.87,0.9445131481500655,0.10776517540216446
19,3,-0.84,0.9416796087056153,0.1021789163351059
20,2,-0.87,0.9388545698794984,0.10131034627556801
21,4,-0.81,0.93603800616986,0.11045333184301853
22,3,-0.84,0.9332298921513504,0.10883450011412303
23,4,-0.81,0.9304302024748964,0.12450087629258633
24,1,-0.75,0.9276389118674717,0.11362873762845993
25,4,-0.66,0.9248559951318693,0.10363071039319038
26,6,-0.9,0.9220814271464737,0.10191162427266438
27,10,-1.26,0.9193151828650342,0.10301201716065407
28,1,-0.75,0.9165572373164391,0.12312164157629013
29,1,-0.75,0.9138075656044898,0.10042115300893784
30,1,-0.75,0.9110661429076764,0.09178946912288666
31,1,-0.75,0.9083329444789534,0.08679597824811935
32,1,-0.75,0.9056079456455165,0.08782289922237396
33,10,-1.23,0.90289112180858,0.10140542462468147
34,2,-0.87,0.9001824484431542,0.11300007253885269
35,1,-0.75,0.8974819010978248,0.09685448557138443
36,9,-1.26,0.8947894553945313,0.10844721065627204
37,1,-0.75,0.8921050870283477,0.11530540883541107
38,2,-0.87,0.8894287717672626,0.10317860171198845
39,1,-0.75,0.8867604854519608,0.08898144960403442
40,1,-0.75,0.884100203995605,0.08423089236021042
41,1,-0.75,0.8814479033836181,0.06084096431732178
42,6,-1.05,0.8788035596734672,0.10011066248019536
43,3,-0.84,0.8761671489944468,0.10922852158546448
44,3,-0.84,0.8735386475474635,0.10469650725523631
45,30,-1.98,0.8709180316048211,0.0939131868382295
46,1,-0.75,0.8683052775100066,0.10198058187961578
47,1,-0.75,0.8657003616774767,0.10030721127986908
48,1,-0.75,0.8631032605924442,0.08472692221403122
49,1,-0.75,0.860513950810667,0.11852463334798813
50,1,-0.75,0.857932408958235,0.08524968475103378
51,6,-0.9,0.8553586117313603,0.09560338159402211
52,1,-0.75,0.8527925358961662,0.10586003959178925
53,6,-0.78,0.8502341582884777,0.0969918929040432
54,1,-0.75,0.8476834558136123,0.10529696941375732
