Episode,Steps,Total Reward,Epsilon,TD Error
0,3,-0.87,0.997,0.0
1,17,-0.4199999999999998,0.994009,0.0
2,1,-0.75,0.991026973,0.0
3,9,-1.11,0.988053892081,0.0
4,1,-0.75,0.985089730404757,0.0
5,1,-0.75,0.9821344612135428,0.19120287895202637
6,1,-0.75,0.9791880578299021,0.20714576542377472
7,4,-0.96,0.9762504936564125,0.19697774574160576
8,3,-0.84,0.9733217421754432,0.2028429408868154
9,7,-0.96,0.9704017769489168,0.18867546958582743
10,2,-0.72,0.9674905716180701,0.19376642256975174
11,2,-0.87,0.9645880999032158,0.20166680961847305
12,6,-0.9,0.9616943356035061,0.19505648066600165
13,10,-1.23,0.9588092525966956,0.19362534433603287
14,2,-0.87,0.9559328248389055,0.1817036047577858
15,1,-0.75,0.9530650263643888,0.22002115845680237
16,8,-1.29,0.9502058312852957,0.179456802085042
17,3,-0.99,0.9473552137914398,0.18166381120681763
18,1,-0.75,0.9445131481500655,0.1923857033252716
19,24,-2.04,0.9416796087056153,0.1719729316731294
20,10,-1.38,0.9388545698794984,0.16251523643732071
21,4,-0.81,0.93603800616986,0.16733647510409355
22,3,-0.99,0.9332298921513504,0.15176368256409964
23,4,-0.96,0.9304302024748964,0.17227193340659142
24,2,-0.87,0.9276389118674717,0.1478061005473137
25,4,-1.11,0.9248559951318693,0.14721840620040894
26,11,-0.96,0.9220814271464737,0.15437023477120834
27,20,-1.68,0.9193151828650342,0.13917470537126064
28,7,-1.02,0.9165572373164391,0.15485741198062897
29,3,-0.57,0.9138075656044898,0.14658640821774802
30,3,-0.84,0.9110661429076764,0.15345355371634165
31,1,-0.75,0.9083329444789534,0.19593004882335663
32,7,-1.17,0.9056079456455165,0.1567370274237224
33,2,-0.72,0.90289112180858,0.14690035581588745
34,12,-1.17,0.9001824484431542,0.13884476448098818
35,12,-1.26,0.8974819010978248,0.1513468138873577
36,16,-1.5,0.8947894553945313,0.13916835514828563
37,5,-1.08,0.8921050870283477,0.14646981954574584
38,2,-0.72,0.8894287717672626,0.13419710844755173
39,8,-1.29,0.8867604854519608,0.1331976093351841
40,1,-0.75,0.884100203995605,0.13047342002391815
41,3,-0.99,0.8814479033836181,0.1667751520872116
42,1,-0.75,0.8788035596734672,0.15884718298912048
43,7,-1.17,0.8761671489944468,0.14268567732402257
44,3,-0.84,0.8735386475474635,0.13337945689757666
45,9,-1.1099999999999999,0.8709180316048211,0.13500535819265577
46,2,-0.72,0.8683052775100066,0.13985875993967056
47,3,-0.99,0.8657003616774767,0.13839363306760788
48,1,-0.75,0.8631032605924442,0.16440053284168243
49,1,-0.75,0.860513950810667,0.13142850995063782
50,2,-0.72,0.857932408958235,0.14157655835151672
51,7,-1.17,0.8553586117313603,0.14961020648479462
52,6,-0.9,0.8527925358961662,0.1389263371626536
53,2,-0.72,0.8502341582884777,0.13879398256540298
54,1,-0.75,0.8476834558136123,0.10952694714069366
55,1,-0.75,0.8451404054461714,0.11902477592229843
56,4,-1.11,0.8426049842298329,0.1361239030957222
57,1,-0.75,0.8400771692771434,0.13767825067043304
58,8,-0.99,0.837556937769312,0.13440400455147028
59,5,-0.93,0.835044266956004,0.14369687736034392
60,2,-0.87,0.8325391341551359,0.13455671072006226
61,1,-0.75,0.8300415167526705,0.14012794196605682
62,2,-0.87,0.8275513922024125,0.1363530457019806
63,2,-0.72,0.8250687380258053,0.13120786100625992
64,5,-0.93,0.8225935318117279,0.1442483827471733
65,2,-0.72,0.8201257512162927,0.12310727685689926
66,1,-0.75,0.8176653739626438,0.15615366399288177
67,1,-0.75,0.8152123778407558,0.1439731866121292
68,43,-3.570000000000003,0.8127667407072335,0.13822676189417063
69,2,-0.87,0.8103284404851119,0.13439979404211044
70,1,-0.75,0.8078974551636565,0.1299731433391571
71,11,-1.2,0.8054737627981655,0.13640737262639133
72,7,-1.17,0.803057341509771,0.13615328712122782
73,1,-0.75,0.8006481694852418,0.1546366959810257
74,2,-0.72,0.798246224976786,0.15557453036308289
75,2,-0.87,0.7958514863018556,0.1334661766886711
76,6,-1.2,0.79346393184295,0.13656296705206236
77,2,-0.87,0.7910835400474212,0.13004539161920547
78,2,-0.87,0.7887102894272789,0.1448235809803009
79,1,-0.75,0.7863441585589971,0.15612266957759857
80,1,-0.75,0.78398512608332,0.12297504395246506
81,2,-0.87,0.7816331707050701,0.1249660924077034
82,6,-1.2,0.7792882711929549,0.13795760894815126
83,2,-0.72,0.776950406379376,0.13353559002280235
84,2,-0.72,0.7746195551602378,0.15227727591991425
85,3,-0.84,0.7722956964947572,0.1439515302578608
86,1,-0.75,0.7699788094052729,0.16913707554340363
87,7,-1.17,0.767668872977057,0.14455017021724156
88,1,-0.75,0.7653658663581259,0.13817687332630157
89,3,-0.99,0.7630697687590515,0.14634454250335693
90,7,-1.02,0.7607805594527743,0.1274503128869193
91,1,-0.75,0.7584982177744161,0.1322619467973709
92,4,-0.96,0.7562227231210928,0.14152941294014454
93,1,-0.75,0.7539540549517295,0.12629544734954834
94,2,-0.87,0.7516921927868743,0.1375192627310753
95,2,-0.87,0.7494371162085136,0.12499023601412773
96,2,-0.87,0.747188804859888,0.14615698158740997
97,3,-0.99,0.7449472384453084,0.1473026971022288
98,5,-0.93,0.7427123967299725,0.13472339808940886
99,1,-0.75,0.7404842595397826,0.12551510334014893
100,1,-0.75,0.7382628067611632,0.1539279669523239
101,1,-0.75,0.7360480183408797,0.1265375167131424
102,2,-0.87,0.7338398742858571,0.1332790069282055
103,1,-0.75,0.7316383546629995,0.14170417189598083
104,1,-0.75,0.7294434395990105,0.14556542038917542
105,2,-0.87,0.7272551092802134,0.13349870964884758
106,4,-1.11,0.7250733439523728,0.1358068622648716
107,1,-0.75,0.7228981239205157,0.1307837814092636
108,4,-0.81,0.7207294295487541,0.1353581827133894
109,2,-0.87,0.7185672412601078,0.1348925679922104
110,1,-0.75,0.7164115395363275,0.10866837948560715
111,1,-0.75,0.7142623049177186,0.13442665338516235
112,3,-0.84,0.7121195180029655,0.13518594950437546
113,3,-0.84,0.7099831594489566,0.12553306172291437
114,1,-0.75,0.7078532099706097,0.14218434691429138
115,3,-0.84,0.7057296503406979,0.13014396528402963
116,1,-0.75,0.7036124613896758,0.13318419456481934
117,1,-0.75,0.7015016240055068,0.12018539756536484
118,1,-0.75,0.6993971191334902,0.14256465435028076
119,5,-0.93,0.6972989277760897,0.14095342308282852
120,1,-0.75,0.6952070309927615,0.13505132496356964
121,1,-0.75,0.6931214098997832,0.10413332283496857
122,1,-0.75,0.6910420456700839,0.16392424702644348
123,1,-0.75,0.6889689195330736,0.10784041881561279
124,2,-0.72,0.6869020127744744,0.12556058168411255
125,2,-0.72,0.684841306736151,0.13901706039905548
126,3,-0.84,0.6827867828159425,0.13769995669523874
127,1,-0.75,0.6807384224674947,0.13409778475761414
128,2,-0.72,0.6786962072000923,0.13745898753404617
129,2,-0.72,0.676660118578492,0.12502966076135635
130,2,-0.72,0.6746301382227565,0.14840010553598404
131,1,-0.75,0.6726062478080883,0.12207207828760147
132,2,-0.87,0.6705884290646641,0.15714139491319656
133,2,-0.72,0.66857666377747,0.1469808891415596
134,6,-1.05,0.6665709337861376,0.15063701073328653
135,2,-0.87,0.6645712209847792,0.1408771052956581
136,10,-0.93,0.6625775073218249,0.1363531269133091
137,1,-0.75,0.6605897747998594,0.1455068141222
138,6,-1.05,0.6586080054754598,0.1281539760529995
139,1,-0.75,0.6566321814590335,0.13592413067817688
140,2,-0.72,0.6546622849146564,0.13239185884594917
141,2,-0.87,0.6526982980599124,0.14044161140918732
142,2,-0.87,0.6507402031657327,0.14783763140439987
143,3,-0.84,0.6487879825562355,0.1423885921637217
144,5,-0.93,0.6468416186085668,0.13079092651605606
145,1,-0.75,0.6449010937527411,0.14580731093883514
146,6,-0.9,0.6429663904714829,0.1353569502631823
147,1,-0.75,0.6410374913000684,0.14794360101222992
148,3,-0.99,0.6391143788261682,0.13108808547258377
149,6,-1.05,0.6371970356896897,0.13933792834480604
