Episode,Steps,Total Reward,Epsilon,TD Error
0,2,-0.6,0.997,0.0
1,8,-0.69,0.994009,0.0
2,2,-0.87,0.991026973,0.0
3,4,-0.41999999999999993,0.988053892081,0.03550940006971359
4,2,-0.6,0.985089730404757,0.1335042119026184
5,10,-0.69,0.9821344612135428,0.1396472692489624
6,11,-0.81,0.9791880578299021,0.12763915956020355
7,3,-0.69,0.9762504936564125,0.12366304049889247
8,8,-0.99,0.9733217421754432,0.11957661528140306
9,6,-0.6599999999999999,0.9704017769489168,0.1226615384221077
10,2,-0.87,0.9674905716180701,0.11720513552427292
11,1,-0.75,0.9645880999032158,0.12290595471858978
12,4,-1.11,0.9616943356035061,0.1158875972032547
13,1,-0.75,0.9588092525966956,0.10752438008785248
14,10,-1.08,0.9559328248389055,0.11279618814587593
15,11,-1.2,0.9530650263643888,0.09541252052242105
16,4,-0.81,0.9502058312852957,0.09380410797894001
17,4,-0.81,0.9473552137914398,0.10643794387578964
18,6,-0.75,0.9445131481500655,0.09793861582875252
19,4,-0.66,0.9416796087056153,0.12200459837913513
20,3,-0.69,0.9388545698794984,0.1278297876318296
21,9,-1.26,0.93603800616986,0.10067927340666454
22,2,-0.72,0.9332298921513504,0.09826790913939476
23,1,-0.75,0.9304302024748964,0.10848841816186905
24,8,-0.8400000000000001,0.9276389118674717,0.10772088449448347
25,10,-1.38,0.9248559951318693,0.09871695563197136
26,3,-0.84,0.9220814271464737,0.09330814083417256
27,14,-1.32,0.9193151828650342,0.10242494940757751
28,1,-0.75,0.9165572373164391,0.10080040991306305
29,3,-0.84,0.9138075656044898,0.08778892457485199
30,7,-1.02,0.9110661429076764,0.09308005762951714
31,1,-0.75,0.9083329444789534,0.09683601558208466
32,4,-0.66,0.9056079456455165,0.09970165602862835
33,13,-1.44,0.90289112180858,0.09655783955867474
34,2,-0.87,0.9001824484431542,0.09094231575727463
35,3,-0.84,0.8974819010978248,0.1068887859582901
36,2,-0.72,0.8947894553945313,0.09178990870714188
37,3,-0.84,0.8921050870283477,0.10371922453244527
38,13,-1.29,0.8894287717672626,0.08949653345804948
39,4,-0.66,0.8867604854519608,0.08980907313525677
40,1,-0.75,0.884100203995605,0.0913759246468544
41,1,-0.75,0.8814479033836181,0.08649085462093353
42,2,-0.72,0.8788035596734672,0.09955130144953728
43,1,-0.75,0.8761671489944468,0.09397317469120026
44,1,-0.75,0.8735386475474635,0.05936693772673607
45,6,-0.75,0.8709180316048211,0.0999965990583102
46,2,-0.87,0.8683052775100066,0.09068365395069122
47,14,-1.2,0.8657003616774767,0.09672347509435245
48,6,-0.9,0.8631032605924442,0.08191654458642006
49,3,-0.69,0.860513950810667,0.10807009041309357
50,1,-0.75,0.857932408958235,0.10971534252166748
51,12,-1.02,0.8553586117313603,0.09760953672230244
52,1,-0.75,0.8527925358961662,0.0986684262752533
53,8,-0.99,0.8502341582884777,0.10714939143508673
54,5,-0.93,0.8476834558136123,0.09384664595127105
55,2,-0.72,0.8451404054461714,0.09514960274100304
56,1,-0.75,0.8426049842298329,0.0843910500407219
57,1,-0.75,0.8400771692771434,0.10626804828643799
58,2,-0.72,0.837556937769312,0.08085878565907478
59,2,-0.72,0.835044266956004,0.08110425993800163
60,2,-0.87,0.8325391341551359,0.10837900266051292
61,2,-0.72,0.8300415167526705,0.09000670164823532
62,1,-0.75,0.8275513922024125,0.09962429106235504
63,3,-0.84,0.8250687380258053,0.09775840987761815
64,1,-0.75,0.8225935318117279,0.08118407428264618
65,2,-0.87,0.8201257512162927,0.09111608564853668
66,5,-1.08,0.8176653739626438,0.09691163748502732
67,2,-0.87,0.8152123778407558,0.07673093676567078
68,7,-1.02,0.8127667407072335,0.08917270175048284
69,5,-0.93,0.8103284404851119,0.07949855625629425
70,3,-0.84,0.8078974551636565,0.08550377562642097
71,4,-0.66,0.8054737627981655,0.09364863112568855
72,4,-0.81,0.803057341509771,0.08991999179124832
73,1,-0.75,0.8006481694852418,0.08997758477926254
74,1,-0.75,0.798246224976786,0.09681061655282974
75,7,-1.17,0.7958514863018556,0.09038222581148148
76,2,-0.87,0.79346393184295,0.08570478856563568
77,4,-0.81,0.7910835400474212,0.08738552406430244
78,5,-0.78,0.7887102894272789,0.09522127658128739
79,1,-0.75,0.7863441585589971,0.09211323410272598
80,4,-0.81,0.78398512608332,0.09176448360085487
81,1,-0.75,0.7816331707050701,0.08799788355827332
82,1,-0.75,0.7792882711929549,0.09027368575334549
83,1,-0.75,0.776950406379376,0.11217760294675827
84,1,-0.75,0.7746195551602378,0.11939835548400879
85,8,-0.99,0.7722956964947572,0.0958483349531889
86,3,-0.84,0.7699788094052729,0.07676389316717784
87,2,-0.72,0.767668872977057,0.08042970672249794
88,3,-0.99,0.7653658663581259,0.0966741070151329
89,2,-0.87,0.7630697687590515,0.081201933324337
90,2,-0.72,0.7607805594527743,0.09326617792248726
91,1,-0.75,0.7584982177744161,0.11581443250179291
92,2,-0.72,0.7562227231210928,0.07547971233725548
93,1,-0.75,0.7539540549517295,0.08775889873504639
94,6,-1.05,0.7516921927868743,0.09148117403189342
95,1,-0.75,0.7494371162085136,0.11946959793567657
96,2,-0.72,0.747188804859888,0.08282601088285446
97,7,-1.17,0.7449472384453084,0.09166738178048815
98,7,-1.17,0.7427123967299725,0.08857554090874535
99,1,-0.75,0.7404842595397826,0.07137447595596313
100,2,-0.87,0.7382628067611632,0.07255670800805092
101,1,-0.75,0.7360480183408797,0.08384066075086594
102,1,-0.75,0.7338398742858571,0.07233881950378418
103,1,-0.75,0.7316383546629995,0.10493964701890945
104,1,-0.75,0.7294434395990105,0.07968954741954803
105,10,-0.96,0.7272551092802134,0.09742806814610958
106,5,-0.93,0.7250733439523728,0.09105523973703385
107,2,-0.72,0.7228981239205157,0.08135619387030602
108,1,-0.75,0.7207294295487541,0.09204623848199844
109,1,-0.75,0.7185672412601078,0.05743154510855675
110,2,-0.72,0.7164115395363275,0.08200548961758614
111,4,-0.81,0.7142623049177186,0.0752636007964611
112,1,-0.75,0.7121195180029655,0.09613428264856339
113,1,-0.75,0.7099831594489566,0.07216750085353851
114,4,-0.81,0.7078532099706097,0.09263444505631924
115,1,-0.75,0.7057296503406979,0.11481501907110214
116,6,-1.2,0.7036124613896758,0.08874714622894923
117,3,-0.84,0.7015016240055068,0.08075210203727086
118,9,-1.26,0.6993971191334902,0.09102863487270144
119,4,-0.96,0.6972989277760897,0.08077017776668072
120,1,-0.75,0.6952070309927615,0.09496892988681793
121,2,-0.87,0.6931214098997832,0.08433212339878082
122,1,-0.75,0.6910420456700839,0.07898704707622528
123,2,-0.87,0.6889689195330736,0.10726610571146011
124,1,-0.75,0.6869020127744744,0.07515963912010193
125,5,-1.08,0.684841306736151,0.09099140167236328
126,2,-0.87,0.6827867828159425,0.08421054482460022
127,1,-0.75,0.6807384224674947,0.0811561644077301
128,1,-0.75,0.6786962072000923,0.07876759022474289
129,2,-0.87,0.676660118578492,0.09202968701720238
130,3,-0.99,0.6746301382227565,0.08799001077810924
131,1,-0.75,0.6726062478080883,0.08701784908771515
132,1,-0.75,0.6705884290646641,0.08129195123910904
133,1,-0.75,0.66857666377747,0.09348925948143005
134,1,-0.75,0.6665709337861376,0.08207017183303833
135,1,-0.75,0.6645712209847792,0.08084341138601303
136,5,-0.78,0.6625775073218249,0.07889837473630905
137,2,-0.72,0.6605897747998594,0.09163336828351021
138,1,-0.75,0.6586080054754598,0.0724794864654541
139,2,-0.72,0.6566321814590335,0.09752050414681435
140,4,-1.11,0.6546622849146564,0.08478214032948017
141,2,-0.72,0.6526982980599124,0.10070283338427544
142,1,-0.75,0.6507402031657327,0.08906666189432144
143,5,-0.78,0.6487879825562355,0.08712519854307174
144,1,-0.75,0.6468416186085668,0.09869072586297989
145,2,-0.87,0.6449010937527411,0.07860835269093513
146,4,-0.96,0.6429663904714829,0.08665984682738781
147,1,-0.75,0.6410374913000684,0.08475251495838165
148,1,-0.75,0.6391143788261682,0.07633914053440094
149,1,-0.75,0.6371970356896897,0.10030423104763031
150,2,-0.72,0.6352854445826206,0.06265169754624367
151,4,-0.96,0.6333795882488727,0.08229109458625317
152,12,-1.17,0.6314794494841262,0.08461922345062096
153,2,-0.87,0.6295850111356738,0.08656734228134155
154,1,-0.75,0.6276962561022668,0.07882120460271835
155,5,-0.93,0.62581316733396,0.09095570296049119
156,4,-0.66,0.623935727831958,0.08422264643013477
157,1,-0.75,0.6220639206484622,0.10512752085924149
158,1,-0.75,0.6201977288865168,0.07744984328746796
159,6,-1.05,0.6183371356998573,0.08872149760524432
160,1,-0.75,0.6164821242927577,0.08368344604969025
161,1,-0.75,0.6146326779198794,0.09548550844192505
162,1,-0.75,0.6127887798861198,0.07354482263326645
163,6,-1.05,0.6109504135464614,0.08226608981688817
164,1,-0.75,0.609117562305822,0.10507278144359589
165,2,-0.87,0.6072902096189046,0.0803266391158104
166,1,-0.75,0.6054683389900478,0.08463379740715027
167,1,-0.75,0.6036519339730777,0.08384603261947632
168,6,-1.05,0.6018409781711584,0.08067605768640836
169,1,-0.75,0.6000354552366449,0.08880531787872314
170,1,-0.75,0.598235348870935,0.09036751091480255
171,2,-0.72,0.5964406428243222,0.08872071653604507
172,2,-0.72,0.5946513208958493,0.09065328910946846
173,8,-1.1400000000000001,0.5928673669331617,0.07433160580694675
174,6,-1.05,0.5910887648323622,0.0835460697611173
175,1,-0.75,0.5893154985378651,0.07619647681713104
176,2,-0.87,0.5875475520422515,0.0835401602089405
177,2,-0.72,0.5857849093861247,0.0878567136824131
178,2,-0.72,0.5840275546579663,0.0789552628993988
179,1,-0.75,0.5822754719939924,0.08247484266757965
180,1,-0.75,0.5805286455780104,0.10681658983230591
181,2,-0.87,0.5787870596412764,0.08454933762550354
182,1,-0.75,0.5770506984623526,0.07605979591608047
183,2,-0.87,0.5753195463669655,0.07732690125703812
184,7,-1.02,0.5735935877278646,0.08260808938315936
185,1,-0.75,0.571872806964681,0.09211140871047974
186,1,-0.75,0.5701571885437869,0.08716465532779694
187,1,-0.75,0.5684467169781556,0.08162751793861389
188,1,-0.75,0.5667413768272211,0.10158026218414307
189,1,-0.75,0.5650411526967395,0.07363628596067429
190,1,-0.75,0.5633460292386493,0.07846011966466904
191,4,-0.81,0.5616559911509333,0.08942247740924358
192,1,-0.75,0.5599710231774805,0.10883529484272003
193,4,-0.66,0.5582911101079481,0.08963262848556042
194,1,-0.75,0.5566162367776242,0.08215363323688507
195,3,-0.99,0.5549463880672914,0.07162700966000557
196,2,-0.72,0.5532815489030894,0.0778035819530487
197,3,-0.99,0.5516217042563801,0.08174001922210057
198,3,-0.84,0.549966839143611,0.08968958506981532
199,1,-0.75,0.5483169386261801,0.06786249577999115
200,4,-0.96,0.5466719878103016,0.08565128035843372
201,1,-0.75,0.5450319718468707,0.090718574821949
202,1,-0.75,0.5433968759313301,0.07749680429697037
203,1,-0.75,0.5417666853035361,0.08554724603891373
204,1,-0.75,0.5401413852476254,0.09562022238969803
205,2,-0.87,0.5385209610918825,0.10982104018330574
206,1,-0.75,0.5369053982086068,0.08223786950111389
207,1,-0.75,0.535294682013981,0.07840430736541748
208,3,-0.99,0.5336887979679391,0.07373618086179097
209,1,-0.75,0.5320877315740353,0.07482269406318665
210,1,-0.75,0.5304914683793133,0.08446967601776123
211,4,-0.96,0.5288999939741753,0.08409568481147289
212,2,-0.87,0.5273132939922528,0.08454286679625511
213,1,-0.75,0.525731354110276,0.07719817757606506
214,1,-0.75,0.5241541600479452,0.07468320429325104
215,1,-0.75,0.5225816975678014,0.08512555062770844
216,1,-0.75,0.521013952475098,0.1048186868429184
217,3,-0.84,0.5194509106176727,0.07742440203825633
218,1,-0.75,0.5178925578858197,0.09350079298019409
219,4,-0.96,0.5163388802121622,0.07372071407735348
220,2,-0.87,0.5147898635715258,0.08003648743033409
221,1,-0.75,0.5132454939808112,0.08667522668838501
222,1,-0.75,0.5117057574988688,0.08169165998697281
223,1,-0.75,0.5101706402263723,0.09579694271087646
224,1,-0.75,0.5086401283056932,0.07198294252157211
225,3,-0.99,0.5071142079207761,0.09192948291699092
226,1,-0.75,0.5055928652970137,0.08159970492124557
227,5,-0.93,0.5040760867011227,0.0818163812160492
228,1,-0.75,0.5025638584410194,0.09453937411308289
229,1,-0.75,0.5010561668656963,0.0884757712483406
230,2,-0.72,0.49955299836509925,0.09621177241206169
231,6,-0.9,0.49805433937000393,0.08374393917620182
232,1,-0.75,0.4965601763518939,0.07203967869281769
233,2,-0.72,0.49507049582283824,0.09240267053246498
234,1,-0.75,0.49358528433536975,0.07177731394767761
235,2,-0.72,0.49210452848236363,0.09599487856030464
236,1,-0.75,0.49062821489691655,0.07639587670564651
237,1,-0.75,0.4891563302522258,0.07560153305530548
238,1,-0.75,0.48768886126146915,0.08970985561609268
239,1,-0.75,0.48622579467768473,0.06941471993923187
240,3,-0.84,0.4847671172936517,0.0834646870692571
241,2,-0.87,0.4833128159417707,0.09718237817287445
