Episode,Steps,Total Reward,Epsilon,TD Error
0,6,-0.81,0.997,0.0
1,2,-0.6,0.994009,0.0
2,14,-1.05,0.991026973,0.0
3,9,-0.81,0.988053892081,0.0
4,26,-1.65,0.985089730404757,0.010328014882711263
5,2,-0.72,0.9821344612135428,0.007552690804004669
6,2,-0.87,0.9791880578299021,0.009411443024873734
7,34,-2.4000000000000004,0.9762504936564125,0.0066017115639303535
8,1,-0.75,0.9733217421754432,0.0037138634361326694
9,1,-0.75,0.9704017769489168,0.0062523409724235535
10,17,-2.0700000000000003,0.9674905716180701,0.00603278393528479
11,5,-0.78,0.9645880999032158,0.006673551816493273
12,12,-1.62,0.9616943356035061,0.007469043659511954
13,2,-0.72,0.9588092525966956,0.006049432326108217
14,1,-0.75,0.9559328248389055,0.004757208283990622
15,12,-1.17,0.9530650263643888,0.0054575053897375865
16,1,-0.75,0.9502058312852957,0.0058551668189466
17,1,-0.75,0.9473552137914398,0.007993632927536964
18,5,-1.08,0.9445131481500655,0.0056924119126051664
19,4,-0.69,0.9416796087056153,0.006585674127563834
20,11,-1.2,0.9388545698794984,0.00592789574610916
21,2,-0.72,0.93603800616986,0.005270779714919627
22,2,-0.72,0.9332298921513504,0.003320110496133566
23,3,-0.99,0.9304302024748964,0.0023360866277168193
24,14,-1.44,0.9276389118674717,0.003984548276223775
25,1,-0.75,0.9248559951318693,0.003331137588247657
26,4,-0.96,0.9220814271464737,0.003106540214503184
27,10,-1.38,0.9193151828650342,0.002449042320949957
28,16,-1.56,0.9165572373164391,0.002232780789199751
29,6,-1.05,0.9138075656044898,0.002831465933316698
30,6,-0.9,0.9110661429076764,0.002937723955255933
31,11,-1.2000000000000002,0.9083329444789534,0.0027040750137530267
32,5,-0.78,0.9056079456455165,0.0025775330548640342
33,2,-0.72,0.90289112180858,0.002937846176791936
34,7,-1.02,0.9001824484431542,0.0018599115677976183
35,3,-0.84,0.8974819010978248,0.0003856718006621425
36,1,-0.75,0.8947894553945313,0.0013882502680644393
37,11,-1.35,0.8921050870283477,0.0007698413775704631
38,1,-0.75,0.8894287717672626,0.00019920810882467777
39,7,-0.87,0.8867604854519608,0.00150739707169123
40,3,-0.99,0.884100203995605,0.0012833394284825772
41,2,-0.72,0.8814479033836181,0.003870173473842442
42,3,-0.84,0.8788035596734672,0.0012860488204751164
43,5,-0.78,0.8761671489944468,0.00581569173373282
44,1,-0.75,0.8735386475474635,0.004406282212585211
45,2,-0.72,0.8709180316048211,0.0005779906787211075
46,2,-0.72,0.8683052775100066,0.00297970965038985
47,11,-1.2000000000000002,0.8657003616774767,0.0024484694056974895
48,8,-1.29,0.8631032605924442,0.0011083464905823348
49,13,-1.29,0.860513950810667,0.001374268523739794
50,1,-0.75,0.857932408958235,0.0005021164542995393
51,16,-1.38,0.8553586117313603,0.002324456096175709
52,3,-0.99,0.8527925358961662,0.00453656764390568
53,3,-0.99,0.8502341582884777,0.002272714802529663
54,2,-0.72,0.8476834558136123,0.0021141909528523684
